,OBJECTID_x,NGBRHD2,medhhinc,unemp,famfpl185,chldfpl185,chld_3_4_preschl,ed_lt_hs,ed_hsgrad,ed_partcoll,ed_collgrad,ed_hs,OBJECTID_y,life,cancer_mort,heart_mort,alzeihmers_mort,stroke_mort,respiratory_mort,injury_mort,diabetes_mort,hyper_mort,flu_pneum_mort,birth,birth_lw,birth_pt,preg_overobese,preg_prenatal,birth_teen,smoker,obese_adult,overobese_teen,overobese_child
70,75.0,South Almaden Valley,142923.0,7.0,4.0,27.5,65.0,4.0,8.0,24.0,64.0,12.0,75.0,83.0,130.0,108.6,36.8,33.3,29.05,29.3,31.9,19.9,18.6,5.5,8.0,9.0,32.0,80.0,0.3,3% to 8%,16% to 20%,0% to 11%,6% to 8%
71,76.0,Spartan Keys / Monterey Corridor,43901.0,14.0,42.0,50.0,65.0,31.0,27.0,27.0,15.0,58.0,76.0,82.0,146.2,133.6,39.0,26.8,44.0,28.4,36.3,19.9,18.6,15.1,7.0,10.0,45.0,71.0,35.1,13,23,17% to 22%,15% to 21%
72,77.0,Meadows,57640.0,10.0,32.0,49.0,65.0,34.0,26.0,21.0,19.0,60.0,77.0,83.0,136.6,109.9,39.0,29.8,29.05,27.2,31.9,19.9,18.6,15.3,6.0,8.0,45.0,66.0,30.2,11% to 13%,23% to 31%,17% to 22%,15% to 21%
73,78.0,Tully King,54785.0,17.0,37.0,50.0,65.0,38.0,23.0,24.0,15.0,61.0,78.0,83.0,143.4,109.8,45.7,36.0,29.05,27.2,52.8,19.9,18.6,14.6,7.0,9.0,44.0,72.0,33.3,10% to 11%,20% to 23%,26% to 38%,15% to 21%
74,79.0,Tully Ocala,54370.0,15.0,38.0,48.0,65.0,39.0,26.0,24.0,11.0,65.0,79.0,81.0,164.9,136.2,39.0,29.8,29.05,27.2,31.9,19.9,18.6,17.6,6.0,9.0,54.0,68.0,54.1,11% to 13%,23% to 31%,26% to 38%,15% to 21%
75,80.0,Kennedy Santee,41162.0,13.0,52.0,62.0,65.0,45.0,20.0,21.0,13.0,65.0,80.0,84.0,99.2,118.8,39.0,29.8,29.05,27.2,31.9,19.9,18.6,17.2,6.0,10.0,47.0,73.0,52.6,11% to 13%,20% to 23%,22% to 26%,15% to 21%
76,81.0,West Evergreen,91534.0,11.0,22.0,41.0,65.0,30.0,23.0,25.0,22.0,53.0,81.0,83.0,164.6,122.5,39.0,29.8,29.05,27.2,31.9,19.9,18.6,13.5,7.0,9.0,38.0,67.0,22.4,10% to 11%,20% to 23%,26% to 38%,10% to 15%
77,82.0,West San Carlos / Burbank,54723.0,10.0,35.0,51.0,46.0,20.0,22.0,29.0,29.0,42.0,82.0,80.0,177.8,157.7,50.4,29.8,48.2,25.2,27.2,19.9,18.6,16.2,7.0,9.0,51.0,73.0,37.2,15,24,11% to 17%,15% to 21%
78,83.0,West San Jose,76107.0,7.0,17.0,27.0,65.0,8.0,17.0,26.0,49.0,25.0,83.0,83.0,149.3,117.5,34.1,34.6,28.7,27.3,31.9,22.2,18.6,14.1,7.0,9.0,37.0,75.0,20.9,12,19,11% to 17%,10% to 15%
79,84.0,Willow Glen,104828.0,8.0,13.0,23.0,75.0,10.0,15.0,26.0,50.0,25.0,84.0,82.0,143.5,128.1,42.9,26.0,30.5,33.1,26.1,13.1,19.9,13.2,8.0,10.0,41.0,76.0,16.2,11,20,17% to 22%,10% to 15%
80,85.0,Willow Glen South,112171.0,10.0,11.0,16.0,58.0,9.0,16.0,26.0,49.0,25.0,85.0,82.0,164.2,132.5,38.7,25.6,28.4,27.6,31.9,17.6,12.9,14.3,8.0,10.0,36.0,79.0,16.3,10,19,17% to 22%,8% to 10%
81,86.0,Winchester North,75548.0,10.0,23.0,40.0,65.0,13.0,18.0,25.0,43.0,31.0,86.0,82.0,132.4,122.6,46.9,34.1,34.5,22.9,24.4,24.2,18.6,15.8,8.0,9.0,42.0,74.0,30.3,14,22,17% to 22%,15% to 21%
82,87.0,North 101,115607.0,7.0,12.0,22.0,71.0,6.0,10.0,19.0,65.0,16.0,87.0,83.0,130.5,121.6,78.4,29.8,29.05,27.2,31.9,19.9,18.6,21.5,8.0,9.0,28.0,77.0,11.3,10,15,22% to 26%,6% to 8%
83,88.0,Santa Clara - East Central,62679.0,9.0,17.0,30.0,65.0,7.0,16.0,24.0,53.0,23.0,88.0,82.0,139.5,162.2,29.2,30.2,29.05,36.2,31.9,19.9,18.6,13.2,8.0,10.0,41.0,68.0,7.8,13% to 16%,15% to 16%,11% to 17%,6% to 8%
